"word","n"
"ai",430
"generative",397
"potential",199
"productivity",144
"automation",121
"economic",105
"impact",101
"activities",99
"data",87
"mckinsey",82
"customer",81
"percent",78
"frontier",73
"technology",72
"time",72
"capabilities",64
"adoption",62
"analysis",61
"based",61
"global",55
"models",55
"growth",54
"software",51
"human",50
"occupations",49
"language",48
"marketing",48
"sales",48
"technical",47
"2023",45
"labor",43
"industry",41
"1",40
"level",39
"research",39
"tasks",38
"workers",37
"business",36
"development",35
"exhibit",35
"including",35
"learning",35
"product",35
"foundation",34
"companies",33
"functions",33
"model",33
"scenario",33
"scenarios",33
"3",32
"content",32
"technologies",32
"ai’s",31
"2",30
"estimate",30
"industries",30
"institute",28
"natural",28
"specific",28
"deep",27
"performance",27
"workforce",27
"4",26
"activity",26
"cost",26
"total",26
"applications",25
"company",25
"economy",25
"increase",25
"knowledge",25
"solution",25
"costs",24
"create",24
"employment",23
"estimates",23
"generate",23
"information",23
"quality",23
"tools",23
"ability",22
"additional",22
"automated",22
"countries",22
"estimated",22
"process",22
"range",22
"required",22
"significant",22
"2017",21
"function",21
"products",21
"2022",20
"50",20
"accelerate",20
"current",20
"design",20
"engineering",20
"occupation",20
"operations",20
"previous",20
"report",20
"solutions",20
"wage",20
"5",19
"artificial",19
"code",19
"detailed",19
"intelligence",19
"key",19
"late",19
"relevant",19
"retail",19
"social",19
"text",19
"annual",18
"change",18
"experts",18
"levels",18
"llms",18
"service",18
"skills",18
"testing",18
"15",17
"80",17
"deliver",17
"source",17
"support",17
"world",17
"banking",16
"consumer",16
"drug",16
"exposed",16
"office",16
"personalized",16
"produce",16
"result",16
"trillion",16
"updated",16
"10",15
"20",15
"40",15
"60",15
"agents",15
"automate",15
"benefits",15
"developed",15
"enhance",15
"management",15
"market",15
"midpoint",15
"physical",15
"rapidly",15
"revenue",15
"share",15
"united",15
"billion",14
"box",14
"challenges",14
"customers",14
"designs",14
"exposure",14
"generation",14
"increased",14
"individual",14
"pace",14
"parameters",14
"previously",14
"scale",14
"virtual",14
"100",13
"april",13
"existing",13
"expert",13
"factors",13
"faster",13
"gdp",13
"percentage",13
"rates",13
"risks",13
"training",13
"account",12
"bureau",12
"database",12
"digital",12
"future",12
"improve",12
"initial",12
"lower",12
"output",12
"perform",12
"systems",12
"top",12
"47",11
"annually",11
"application",11
"approach",11
"assessments",11
"examples",11
"expertise",11
"include",11
"insights",11
"interactions",11
"internal",11
"related",11
"risk",11
"shift",11
"spent",11
"statistics",11
"trained",11
"understanding",11
"university",11
"0.6",10
"12",10
"16",10
"18",10
"2030",10
"6",10
"7",10
"9",10
"advanced",10
"agent",10
"base",10
"consumers",10
"deployment",10
"developing",10
"draft",10
"effective",10
"emotional",10
"enabled",10
"engineers",10
"experience",10
"feasibility",10
"functional",10
"hours",10
"jobs",10
"machine",10
"modeled",10
"net",10
"partner",10
"processes",10
"quickly",10
"rate",10
"require",10
"researchers",10
"society",10
"tech",10
"technology’s",10
"0",9
"0.1",9
"13",9
"2021",9
"63",9
"70",9
"address",9
"affect",9
"categories",9
"comparison",9
"effects",9
"enabling",9
"findings",9
"generating",9
"image",9
"impacts",9
"medical",9
"modeling",9
"networks",9
"organization",9
"processing",9
"provide",9
"reach",9
"real",9
"roughly",9
"senior",9
"services",9
"significantly",9
"spending",9
"task",9
"techniques",9
"unstructured",9
"user",9
"wages",9
"0.5",8
"14",8
"2,100",8
"30",8
"accelerating",8
"analytics",8
"assessment",8
"biggest",8
"capability",8
"chapter",8
"compared",8
"complex",8
"country",8
"cpg",8
"creative",8
"decision",8
"degree",8
"diffusion",8
"discovery",8
"due",8
"hardware",8
"identify",8
"images",8
"increases",8
"increasing",8
"innovation",8
"integration",8
"interaction",8
"investment",8
"mgi",8
"mix",8
"neural",8
"outputs",8
"planning",8
"preferences",8
"reduce",8
"reduced",8
"requirements",8
"resulting",8
"set",8
"simulations",8
"tailored",8
"technological",8
"traditional",8
"understand",8
"wide",8
"0.8",7
"11",7
"17",7
"2.6",7
"28",7
"3.1",7
"8",7
"access",7
"accounts",7
"addition",7
"advances",7
"approximately",7
"assessed",7
"assumptions",7
"average",7
"called",7
"chain",7
"clients",7
"computer",7
"corporate",7
"creation",7
"depending",7
"develop",7
"direct",7
"earlier",7
"employees",7
"enhanced",7
"entire",7
"evolution",7
"external",7
"ftes",7
"gpt",7
"half",7
"input",7
"integrate",7
"investments",7
"lead",7
"march",7
"median",7
"multiple",7
"optimize",7
"paper",7
"paris",7
"patterns",7
"period",7
"producing",7
"recent",7
"responses",7
"revenues",7
"scope",7
"speed",7
"talent",7
"test",7
"types",7
"worker",7
"writing",7
"0.7",6
"19",6
"2.8",6
"200",6
"2018",6
"2020",6
"22",6
"27",6
"850",6
"abilities",6
"academic",6
"acceleration",6
"achieve",6
"add",6
"adopted",6
"analyses",6
"applied",6
"architecture",6
"attention",6
"bring",6
"chatgpt",6
"clinical",6
"context",6
"conversion",6
"creating",6
"decade",6
"decades",6
"decisions",6
"director",6
"documentation",6
"drafts",6
"economics",6
"education",6
"emails",6
"enable",6
"experiences",6
"fine",6
"found",6
"improved",6
"june",6
"leaders",6
"lens",6
"lives",6
"manufacturing",6
"organizational",6
"packaged",6
"people",6
"performed",6
"performing",6
"policies",6
"policy",6
"potentially",6
"power",6
"privacy",6
"professionals",6
"reasoning",6
"requiring",6
"review",6
"rise",6
"search",6
"select",6
"spotlight",6
"step",6
"supply",6
"system",6
"timelines",6
"transform",6
"transformation",6
"updates",6
"video",6
"0.3",5
"1.2",5
"1.4",5
"110",5
"2016",5
"2060",5
"25",5
"3.4",5
"340",5
"4.4",5
"45",5
"49",5
"additionally",5
"algorithms",5
"answer",5
"appendix",5
"applying",5
"assess",5
"assistance",5
"audio",5
"automating",5
"bank",5
"banks",5
"beginning",5
"biased",5
"call",5
"capital",5
"care",5
"challenge",5
"chatbot",5
"chatbots",5
"china",5
"citation",5
"client",5
"coding",5
"collection",5
"considerations",5
"contribute",5
"declining",5
"drive",5
"earliest",5
"enables",5
"er",5
"exist",5
"features",5
"feedback",5
"financial",5
"gains",5
"generated",5
"health",5
"heavily",5
"humans",5
"identified",5
"importance",5
"improvement",5
"improvements",5
"improving",5
"income",5
"indications",5
"individuals",5
"inputs",5
"integrated",5
"january",5
"job",5
"leads",5
"learn",5
"legal",5
"llm",5
"low",5
"machines",5
"maintain",5
"manage",5
"managers",5
"managing",5
"materials",5
"mckinsey’s",5
"media",5
"methodology",5
"middle",5
"note",5
"occupational",5
"operational",5
"optimization",5
"organizations",5
"outcomes",5
"patient",5
"pharma",5
"price",5
"profiles",5
"prompt",5
"prompts",5
"property",5
"quartile",5
"questions",5
"recommendations",5
"reducing",5
"reductions",5
"regulatory",5
"representatives",5
"representing",5
"sciences",5
"sensory",5
"skill",5
"sources",5
"spend",5
"start",5
"strategy",5
"summary",5
"surrogates",5
"takes",5
"taking",5
"targeted",5
"ten",5
"transformed",5
"typically",5
"unit",5
"unlock",5
"voice",5
"york",5
"1.0",4
"150",4
"2012",4
"2040",4
"29",4
"400",4
"53",4
"56",4
"57",4
"75",4
"82",4
"a1",4
"act",4
"adapting",4
"adopt",4
"affected",4
"aging",4
"al",4
"alex",4
"amount",4
"amounts",4
"analyzed",4
"answers",4
"arxiv",4
"assisted",4
"assume",4
"assumed",4
"augment",4
"auto",4
"bay",4
"brand",4
"built",4
"businesses",4
"campaigns",4
"checks",4
"citizens",4
"classified",4
"cognitive",4
"collaboration",4
"company’s",4
"complete",4
"compliance",4
"comprehensive",4
"control",4
"copilot",4
"creativity",4
"curves",4
"databases",4
"delivers",4
"demographics",4
"developments",4
"dollars",4
"dwas",4
"economies",4
"effectively",4
"effectiveness",4
"ensure",4
"ensuring",4
"equal",4
"equivalent",4
"established",4
"expected",4
"facilitate",4
"facing",4
"fall",4
"figures",4
"flexes",4
"follow",4
"food",4
"free",4
"funded",4
"generations",4
"github",4
"globally",4
"google",4
"grow",4
"highly",4
"hiring",4
"history",4
"ideas",4
"included",4
"includes",4
"incorporating",4
"incremental",4
"index",4
"india",4
"informed",4
"inquiries",4
"instance",4
"intellectual",4
"introducing",4
"landscape",4
"layers",4
"legacy",4
"life",4
"main",4
"makers",4
"mckinsey.com",4
"measurable",4
"messages",4
"mexico",4
"months",4
"motor",4
"negative",4
"notes",4
"offers",4
"openai",4
"operating",4
"opportunities",4
"optimizing",4
"overview",4
"oxford",4
"partners",4
"past",4
"pennsylvania",4
"perception",4
"pharmaceutical",4
"phase",4
"powered",4
"pricing",4
"primarily",4
"produced",4
"production",4
"programming",4
"programs",4
"provided",4
"public",4
"published",4
"ranging",4
"refer",4
"resolution",4
"resources",4
"results",4
"retailers",4
"rounding",4
"scan",4
"school",4
"scores",4
"scripts",4
"sectors",4
"seo",4
"sequence",4
"sets",4
"shifts",4
"similar",4
"single",4
"stakeholders",4
"style",4
"success",4
"suggestions",4
"sum",4
"survey",4
"teachers",4
"teams",4
"today’s",4
"tokens",4
"train",4
"transitions",4
"vast",4
"visit",4
"world’s",4
"0.2",3
"1.3",3
"1.8",3
"120",3
"180",3
"1972",3
"2.0",3
"2.3",3
"2.5",3
"2010",3
"2045",3
"21",3
"24",3
"240",3
"260",3
"3.0",3
"3.7",3
"3.8",3
"300",3
"32",3
"34",3
"35",3
"43",3
"44",3
"48",3
"51",3
"54",3
"61",3
"62",3
"64",3
"660",3
"90",3
"accelerated",3
"accounting",3
"accurate",3
"adapt",3
"advertising",3
"advisers",3
"ai2",3
"algorithm",3
"allowing",3
"analyzing",3
"article",3
"assessing",3
"assist",3
"assuming",3
"attainment",3
"augmenting",3
"automatically",3
"b2c",3
"bachelor’s",3
"billions",3
"boost",3
"breakthroughs",3
"broad",3
"build",3
"building",3
"cagr",3
"calculated",3
"capture",3
"captured",3
"changed",3
"channels",3
"coaching",3
"cohort",3
"colleagues",3
"collecting",3
"combined",3
"commercial",3
"communication",3
"communications",3
"community",3
"computational",3
"compute",3
"computers",3
"concerns",3
"conservative",3
"consistent",3
"continues",3
"conversation",3
"conversations",3
"coordination",3
"copy",3
"correlation",3
"critical",3
"custom",3
"dall·e",3
"david",3
"day",3
"decrease",3
"defined",3
"deployed",3
"designing",3
"difficult",3
"direction",3
"distribution",3
"documents",3
"drivers",3
"economically",3
"economists",3
"educational",3
"efficiency",3
"efficient",3
"employee",3
"engine",3
"enterprise",3
"environmental",3
"era",3
"eric",3
"evidence",3
"examining",3
"excluding",3
"executives",3
"expenditures",3
"fabric",3
"feasible",3
"firms",3
"forces",3
"forecasting",3
"france",3
"fte",3
"gen",3
"germany",3
"graphics",3
"gupta",3
"handled",3
"helped",3
"helping",3
"historical",3
"histories",3
"ideation",3
"identification",3
"ihs",3
"implement",3
"implementation",3
"incorporate",3
"inference",3
"ing",3
"instantly",3
"integrating",3
"intensive",3
"involved",3
"involves",3
"involving",3
"issues",3
"japan",3
"lack",3
"languages",3
"le",3
"led",3
"lenses",3
"limitations",3
"list",3
"logical",3
"logistics",3
"london",3
"loop",3
"lowest",3
"ly",3
"major",3
"mapping",3
"markit",3
"massive",3
"matching",3
"measure",3
"michael",3
"modality",3
"monitor",3
"move",3
"multimodal",3
"music",3
"national",3
"nature",3
"neurons",3
"nongenerative",3
"november",3
"openai’s",3
"opposite",3
"options",3
"paired",3
"parameter",3
"partially",3
"pattern",3
"personal",3
"personalization",3
"perspective",3
"pharmaceuticals",3
"physics",3
"plateau",3
"play",3
"poised",3
"polytechnique",3
"populations",3
"positive",3
"private",3
"pro",3
"professor",3
"progress",3
"prosperity",3
"publicly",3
"quantitative",3
"quantumblack",3
"quintiles",3
"rapid",3
"reaching",3
"reality",3
"reflects",3
"regulation",3
"regulations",3
"relies",3
"representation",3
"representative",3
"requests",3
"requirement",3
"requires",3
"resource",3
"response",3
"retention",3
"retraining",3
"revolutionizing",3
"robert",3
"role",3
"run",3
"scenario2",3
"scientific",3
"scientists",3
"security",3
"sensing",3
"sensitivities",3
"series",3
"short",3
"slowed",3
"solve",3
"solving",3
"sourced",3
"stable",3
"stages",3
"steps",3
"studies",3
"substantial",3
"successfully",3
"synthesize",3
"synthesizing",3
"team",3
"thousands",3
"tool",3
"translation",3
"trends",3
"trials",3
"trillions",3
"tuning",3
"units",3
"unpredictable",3
"users",3
"values",3
"variety",3
"vary",3
"varying",3
"wealth",3
"white",3
"widely",3
"words",3
"workforces",3
"0.4",2
"0.9",2
"1,016",2
"1,200",2
"1.7",2
"11.0",2
"17.7",2
"170",2
"19,265",2
"1992",2
"2,087",2
"2.4",2
"2.9",2
"2002",2
"2050",2
"2070",2
"230",2
"26",2
"290",2
"2includes",2
"3.2",2
"36",2
"360",2
"38",2
"39",2
"4.5",2
"4.7",2
"41",2
"42",2
"52",2
"59",2
"6.1",2
"65",2
"7.9",2
"73.0",2
"absorb",2
"accessed",2
"accessories",2
"achieving",2
"actions",2
"actors",2
"ad",2
"added",2
"administrative",2
"advance",2
"advantage",2
"advent",2
"aerospace",2
"africa",2
"age",2
"agencies",2
"aggregated",2
"aggressive",2
"agriculture",2
"aim",2
"aimed",2
"alerts",2
"alphago",2
"alternatives",2
"america",2
"anatomy",2
"anthropic",2
"apply",2
"ar",2
"arise",2
"arrive",2
"articles",2
"articulation",2
"assesses",2
"assistant",2
"assistants",2
"assisting",2
"associate",2
"augmented",2
"awareness",2
"b2b",2
"bad",2
"bard",2
"barriers",2
"behavior",2
"benchmarks",2
"benefit",2
"bil",2
"board",2
"bot",2
"bottleneck",2
"bottom",2
"broader",2
"builds",2
"buying",2
"candidate",2
"candidates",2
"capable",2
"carbon",2
"cases1",2
"catalyst",2
"centered",2
"cfd",2
"changing",2
"characteristics",2
"charge",2
"charles",2
"chemical",2
"chemicals",2
"christoph",2
"chui",2
"cis",2
"class",2
"claude",2
"clothing",2
"collar",2
"color",2
"combine",2
"coming",2
"commissioned",2
"communicate",2
"comparability",2
"comparative",2
"complemented",2
"complexity",2
"component",2
"components",2
"compound",2
"compounds",2
"conceptual",2
"conclusions",2
"conference",2
"connected",2
"considerable",2
"consideration",2
"considered",2
"consistency",2
"contact",2
"contacts",2
"contents",2
"continue",2
"continued",2
"continuing",2
"contract",2
"contrast",2
"contributing",2
"copyright",2
"core",2
"cornell",2
"covering",2
"created",2
"creatives",2
"credit",2
"cross",2
"customer’s",2
"de",2
"debt",2
"decline",2
"decreased",2
"define",2
"delivering",2
"demographic",2
"demonstrate",2
"deploy",2
"descriptions",2
"designers",2
"details",2
"determine",2
"determining",2
"developers",2
"devote",2
"dexterity",2
"dialogue",2
"difficulty",2
"diffuse",2
"directly",2
"dis",2
"display",2
"download",2
"drafting",2
"dramatically",2
"draw",2
"driven",2
"driving",2
"drugs",2
"dwa",2
"dynamic",2
"earners",2
"ease",2
"easily",2
"edited",2
"editor",2
"educated",2
"edward",2
"effect",2
"efficiently",2
"elevates",2
"ellingrud",2
"embedded",2
"emma",2
"emulate",2
"energy",2
"engage",2
"enhancing",2
"environments",2
"equilibrium",2
"erate",2
"erative",2
"estimation",2
"europe",2
"european",2
"events",2
"examined",2
"excludes",2
"exhaustive",2
"expanded",2
"expansive",2
"experi",2
"experienced",2
"explainability",2
"explained",2
"extract",2
"extracting",2
"extrapolating",2
"extreme",2
"extremes",2
"faced",2
"falls",2
"farmer",2
"fast",2
"february",2
"felten",2
"fewer",2
"finally",2
"finance",2
"finding",2
"focused",2
"force",2
"form",2
"format",2
"fraction",2
"frameworks",2
"frontiers",2
"frontline",2
"fuel",2
"fueled",2
"ga",2
"gained",2
"game",2
"games",2
"gathering",2
"gener",2
"glossary",2
"goldman",2
"government",2
"gpts",2
"grasp",2
"gross",2
"grown",2
"guide",2
"gy",2
"handling",2
"harm",2
"harnessing",2
"hazan",2
"headlines",2
"helps",2
"heterogeneity",2
"hourly",2
"hr",2
"huge",2
"humanlike",2
"identifiable",2
"ignite",2
"ii",2
"incentives",2
"independent",2
"indication",2
"industry’s",2
"infor",2
"inform",2
"infringing",2
"inherent",2
"initially",2
"institut",2
"institution",2
"institutions",2
"instructions",2
"interacting",2
"interactive",2
"interface",2
"interviews",2
"introduced",2
"inventory",2
"involve",2
"io",2
"ip",2
"issue",2
"iterate",2
"ivr",2
"kate",2
"kathryn",2
"keywords",2
"knock",2
"kweilin",2
"lareina",2
"larger",2
"largest",2
"li",2
"limit",2
"line",2
"lines",2
"linked",2
"lion",2
"literature",2
"livelihoods",2
"location",2
"logs",2
"losses",2
"machinery",2
"macro",2
"maintenance",2
"malicious",2
"manav",2
"manually",2
"marketers",2
"martin",2
"match",2
"materialize",2
"mation",2
"measured",2
"medication",2
"ment",2
"migration",2
"million",2
"mimic",2
"missing",2
"mobility",2
"modalities",2
"molecule",2
"molecules",2
"monitoring",2
"morgan",2
"navigate",2
"navigator",2
"necessarily",2
"network",2
"news",2
"nineteen",2
"north",2
"ns",2
"numerical",2
"nurture",2
"objective",2
"obstacles",2
"obtained",2
"occurs",2
"offering",2
"offerings",2
"op",2
"origins",2
"outreach",2
"overlap",2
"overnight",2
"oversight",2
"paid",2
"palm",2
"pbc",2
"perspectives",2
"peter",2
"phases",2
"phenomenon",2
"phones",2
"physicians",2
"pieces",2
"pierce",2
"pitchbook",2
"plagiarism",2
"plans",2
"plausible",2
"popular",2
"positions",2
"possibilities",2
"powering",2
"practices",2
"practitioners",2
"precise",2
"predictable",2
"predictive",2
"preliminary",2
"prepare",2
"preparing",2
"pretrained",2
"princeton",2
"prioritize",2
"probability",2
"procurement",2
"profile",2
"proprietary",2
"protected",2
"providing",2
"purposes",2
"push",2
"queries",2
"raj",2
"ready",2
"realize",2
"recast",2
"receives",2
"records",2
"redeployed",2
"reduction",2
"referred",2
"refers",2
"refine",2
"reflecting",2
"regulated",2
"relationships",2
"released",2
"reliability",2
"rely",2
"replaced",2
"replit",2
"reported",2
"reporting",2
"reports",2
"represent",2
"responding",2
"retrieve",2
"richard",2
"roberts",2
"robinson",2
"rodney",2
"roger",2
"root",2
"routine",2
"rush",2
"sachs",2
"satisfaction",2
"saving",2
"screening",2
"seamans",2
"segments",2
"selected",2
"selection",2
"sell",2
"selling",2
"sense",2
"shape",2
"shifted",2
"shown",2
"similarly",2
"singh",2
"singla",2
"skilled",2
"slowdown",2
"slowing",2
"smaje",2
"smartphones",2
"societal",2
"solely",2
"sooner",2
"south",2
"special",2
"specifically",2
"speech",2
"ssrn",2
"st",2
"stand",2
"stanford",2
"stanley",2
"stitch",2
"stored",2
"strategic",2
"strategies",2
"streamline",2
"strong",2
"structural",2
"structure",2
"structured",2
"structures",2
"study",2
"subset",2
"substantially",2
"substituted",2
"sufficient",2
"suggest",2
"suggested",2
"sukharevsky",2
"summarization",2
"suppliers",2
"surgery",2
"surveyed",2
"synthetic",2
"tables",2
"tailor",2
"target",2
"teacher",2
"telecommunications",2
"tendency",2
"term",2
"terms",2
"tested",2
"tests",2
"theoretically",2
"thinking",2
"thirds",2
"tial",2
"times",2
"tion",2
"tions",2
"titles",2
"tooling",2
"traction",2
"transformers",2
"travel",2
"treatment",2
"tvs",2
"type",2
"unlike",2
"unlocked",2
"update",2
"valuable",2
"varied",2
"vastly",2
"venture",2
"visualize",2
"volume",2
"weather",2
"web",2
"weighted",2
"wharton",2
"yee",2
"zemmel",2
"0.0",1
"1.1",1
"1.5",1
"1.6",1
"1.9",1
"100,000",1
"100k",1
"13.6",1
"130",1
"140",1
"15.4",1
"15.5",1
"16,000",1
"16.0",1
"160",1
"17.1",1
"1940",1
"1962",1
"1982",1
"1990",1
"2,080",1
"2,600",1
"2.1",1
"2.2",1
"2.7",1
"2011",1
"2013",1
"2019",1
"2023.4",1
"2027",1
"2035",1
"2053",1
"2080",1
"2090",1
"22.1",1
"23",1
"2302.06590",1
"2303.10130",1
"24.0",1
"24.5",1
"25.6",1
"250",1
"270",1
"3.6",1
"30389",1
"31",1
"310",1
"31161",1
"315",1
"33",1
"37",1
"390",1
"4,400",1
"4.0",1
"4.8",1
"420",1
"45.0",1
"45.5",1
"46",1
"46.0",1
"460",1
"470",1
"49.0",1
"5,000",1
"5.3",1
"500",1
"55",1
"550",1
"57th",1
"58",1
"58.5",1
"580",1
"66",1
"67",1
"68.0",1
"72.5",1
"73",1
"74",1
"75,000",1
"760",1
"78",1
